item,content,prior_type,state,n,prop,state,prop,state,prop
Sophia_H,Sophia got a tattoo,factH,3,11,0.025056948,dances,0.571753986,dances,0.571753986
Sophia_H,Sophia got a tattoo,factH,4,14,0.031890661,,,,
Sophia_H,Sophia got a tattoo,factH,5,52,0.118451025,,,,
Sophia_H,Sophia got a tattoo,factH,6,102,0.232346241,,,,
Sophia_H,Sophia got a tattoo,factH,7,92,0.209567198,,,,
Sophia_H,Sophia got a tattoo,factH,8,78,0.177676538,,,,
Sophia_H,Sophia got a tattoo,factH,9,46,0.104783599,,,,
Sophia_H,Sophia got a tattoo,factH,10,35,0.079726651,,,,
,,,,439,,,,,
Sophia_L,Sophia got a tattoo,factL,1,55,0.128805621,doesnt_dance,0.566744731,doesnt_dance,0.421545667
Sophia_L,Sophia got a tattoo,factL,2,62,0.145199063,null,0.290398126,null,0.43559719
Sophia_L,Sophia got a tattoo,factL,3,63,0.147540984,dances,0.142857143,dances,0.142857143
Sophia_L,Sophia got a tattoo,factL,4,62,0.145199063,,,,
Sophia_L,Sophia got a tattoo,factL,5,69,0.161592506,,,,
Sophia_L,Sophia got a tattoo,factL,6,55,0.128805621,,,,
Sophia_L,Sophia got a tattoo,factL,7,24,0.056206089,,,,
Sophia_L,Sophia got a tattoo,factL,8,13,0.030444965,,,,
Sophia_L,Sophia got a tattoo,factL,9,12,0.028103044,,,,
Sophia_L,Sophia got a tattoo,factL,10,12,0.028103044,,,,
,,,,427,,,,,
Tony_H,Tony had a drink last night,factH,1,0,0,doesnt_dance,0.023809524,doesnt_dance,0.016666667
Tony_H,Tony had a drink last night,factH,2,1,0.002380952,null,0.15952381,null,0.166666667
Tony_H,Tony had a drink last night,factH,3,6,0.014285714,dances,0.816666667,dances,0.816666667
Tony_H,Tony had a drink last night,factH,4,3,0.007142857,,,,
Tony_H,Tony had a drink last night,factH,5,22,0.052380952,,,,
Tony_H,Tony had a drink last night,factH,6,45,0.107142857,,,,
Tony_H,Tony had a drink last night,factH,7,70,0.166666667,,,,
Tony_H,Tony had a drink last night,factH,8,101,0.24047619,,,,
Tony_H,Tony had a drink last night,factH,9,111,0.264285714,,,,
Tony_H,Tony had a drink last night,factH,10,61,0.145238095,,,,
,,,,420,,,,,
Tony_L,Tony had a drink last night,factL,1,238,0.533632287,doesnt_dance,0.883408072,doesnt_dance,0.83632287
Tony_L,Tony had a drink last night,factL,2,92,0.206278027,null,0.058295964,null,0.105381166
Tony_L,Tony had a drink last night,factL,3,43,0.096412556,dances,0.058295964,dances,0.058295964
Tony_L,Tony had a drink last night,factL,4,21,0.047085202,,,,
Tony_L,Tony had a drink last night,factL,5,12,0.02690583,,,,
Tony_L,Tony had a drink last night,factL,6,14,0.031390135,,,,
Tony_L,Tony had a drink last night,factL,7,9,0.020179372,,,,
Tony_L,Tony had a drink last night,factL,8,6,0.013452915,,,,
Tony_L,Tony had a drink last night,factL,9,4,0.00896861,,,,
Tony_L,Tony had a drink last night,factL,10,7,0.015695067,,,,
,,,,446,,,,,
Zoe_H,Zoe calculated the tip,factH,1,2,0.004474273,doesnt_dance,0.024608501,doesnt_dance,0.011185682
Zoe_H,Zoe calculated the tip,factH,2,0,0,null,0.123042506,null,0.136465324
Zoe_H,Zoe calculated the tip,factH,3,3,0.006711409,dances,0.852348993,dances,0.852348993
Zoe_H,Zoe calculated the tip,factH,4,6,0.013422819,,,,
Zoe_H,Zoe calculated the tip,factH,5,13,0.029082774,,,,
Zoe_H,Zoe calculated the tip,factH,6,42,0.093959732,,,,
Zoe_H,Zoe calculated the tip,factH,7,61,0.136465324,,,,
Zoe_H,Zoe calculated the tip,factH,8,108,0.241610738,,,,
Zoe_H,Zoe calculated the tip,factH,9,99,0.22147651,,,,
Zoe_H,Zoe calculated the tip,factH,10,113,0.252796421,,,,
,,,,447,,,,,
Zoe_L,Zoe calculated the tip,factL,1,241,0.575178998,doesnt_dance,0.904534606,doesnt_dance,0.863961814
Zoe_L,Zoe calculated the tip,factL,2,80,0.190930788,null,0.038186158,null,0.07875895
Zoe_L,Zoe calculated the tip,factL,3,41,0.097852029,dances,0.057279236,dances,0.057279236
Zoe_L,Zoe calculated the tip,factL,4,17,0.040572792,,,,
Zoe_L,Zoe calculated the tip,factL,5,11,0.026252983,,,,
Zoe_L,Zoe calculated the tip,factL,6,5,0.011933174,,,,
Zoe_L,Zoe calculated the tip,factL,7,8,0.019093079,,,,
Zoe_L,Zoe calculated the tip,factL,8,8,0.019093079,,,,
Zoe_L,Zoe calculated the tip,factL,9,5,0.011933174,,,,
Zoe_L,Zoe calculated the tip,factL,10,3,0.007159905,,,,
,,,,419,,,,,
